requirement_id,source_section,requirement,implementation_path,verification_command,evidence_path,status,blocker
R02.016,requirements.md §2,把海岸带专业概念写死在通用模型编排核心,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.000,requirements.md §3,总体研究目标,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.001,requirements.md §3,3.1 模型智能拆解与集成,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.002,requirements.md §3,3.2 场景化模型适配,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.003,requirements.md §3,3.3 可持续状态动态综合评价,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.004,requirements.md §3,管理需求,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.005,requirements.md §3,任务理解,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.006,requirements.md §3,任务拆解,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.007,requirements.md §3,数据需求识别,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.008,requirements.md §3,模型检索,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.009,requirements.md §3,模型筛选,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.010,requirements.md §3,模型组合,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.011,requirements.md §3,变量级连接,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.012,requirements.md §3,科学约束校验,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.013,requirements.md §3,可执行工作流,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.014,requirements.md §3,任务调度,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.015,requirements.md §3,结果追溯,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.016,requirements.md §3,管理目标,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.017,requirements.md §3,+,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.018,requirements.md §3,地理区域,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.019,requirements.md §3,地理实体,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.020,requirements.md §3,时间范围,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.021,requirements.md §3,情景条件,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.022,requirements.md §3,实际数据,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.023,requirements.md §3,模型参数,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.024,requirements.md §3,边界条件,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.025,requirements.md §3,场景,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.026,requirements.md §3,Indicator Framework,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.027,requirements.md §3,Indicator Definition,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.028,requirements.md §3,Normalization,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.029,requirements.md §3,Weighting,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.030,requirements.md §3,Aggregation,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.031,requirements.md §3,Classification,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.032,requirements.md §3,Temporal Comparison,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R03.033,requirements.md §3,Spatial Statistics,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R04.000,requirements.md §4,最终系统总体架构,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R05.000,requirements.md §5,推荐技术栈,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.001,requirements.md §5,Backend,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.002,requirements.md §5,Database,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.003,requirements.md §5,Queue,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.004,requirements.md §5,Object Storage,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.005,requirements.md §5,Frontend,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.006,requirements.md §5,Deployment,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.007,requirements.md §5,Python,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.008,requirements.md §5,FastAPI,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.009,requirements.md §5,Pydantic,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.010,requirements.md §5,SQLAlchemy,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.011,requirements.md §5,Alembic,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.012,requirements.md §5,GeoAlchemy2,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.013,requirements.md §5,Rasterio,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.014,requirements.md §5,GeoPandas,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.015,requirements.md §5,Shapely,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.016,requirements.md §5,PyProj,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.017,requirements.md §5,Pint,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.018,requirements.md §5,NumPy,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.019,requirements.md §5,Pandas,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.020,requirements.md §5,SciPy,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.021,requirements.md §5,scikit-learn,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.022,requirements.md §5,NetworkX,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.023,requirements.md §5,Neo4j,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.024,requirements.md §5,PostgreSQL,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.025,requirements.md §5,PostGIS,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.026,requirements.md §5,Redis,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.027,requirements.md §5,Celery / Dramatiq,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.028,requirements.md §5,QUEUED,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.029,requirements.md §5,RUNNING,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.030,requirements.md §5,SUCCEEDED,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.031,requirements.md §5,FAILED,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.032,requirements.md §5,CANCELLED,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.033,requirements.md §5,MinIO,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.034,requirements.md §5,React,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.035,requirements.md §5,Next.js,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.036,requirements.md §5,TypeScript,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.037,requirements.md §5,MapLibre GL,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.038,requirements.md §5,ECharts,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.039,requirements.md §5,React Flow,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.040,requirements.md §5,Dockerfile,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.041,requirements.md §5,docker-compose.yml,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R05.042,requirements.md §5,.env.example,docker-compose.yml,make acceptance,,NOT_RUN,尚未实现或验证
R06.000,requirements.md §6,核心设计原则,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R06.001,requirements.md §6,6.1 科学硬约束优先,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R06.002,requirements.md §6,Hard Constraint Validation,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R06.003,requirements.md §6,Candidate Models,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R06.004,requirements.md §6,Soft Ranking,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R06.005,requirements.md §6,用一个综合得分抵消单位错误,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R06.006,requirements.md §6,用模型推荐概率抵消数据缺失,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R06.007,requirements.md §6,用LLM判断代替CRS检查,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R06.008,requirements.md §6,用LLM猜测缺失参数,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R07.000,requirements.md §7,核心标准对象,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.001,requirements.md §7,7.1 ModelSpec,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.002,requirements.md §7,7.2 VariableSpec,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.003,requirements.md §7,7.3 DataAssetSpec,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.004,requirements.md §7,7.4 SceneSpec,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.005,requirements.md §7,7.5 WorkflowSpec,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.006,requirements.md §7,7.6 BindingPlan,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.007,requirements.md §7,7.7 ExecutionJob,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.008,requirements.md §7,7.8 RunManifest,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.009,requirements.md §7,7.9 ResultManifest,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.010,requirements.md §7,id,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.011,requirements.md §7,name,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.012,requirements.md §7,display_name,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.013,requirements.md §7,version,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.014,requirements.md §7,model_type,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.015,requirements.md §7,description,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.016,requirements.md §7,capabilities,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.017,requirements.md §7,scientific_domain,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.018,requirements.md §7,inputs,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.019,requirements.md §7,outputs,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.020,requirements.md §7,parameters,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.021,requirements.md §7,spatial_scale,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.022,requirements.md §7,temporal_scale,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.023,requirements.md §7,supported_geometry,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.024,requirements.md §7,supported_crs,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.025,requirements.md §7,runtime_type,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.026,requirements.md §7,runtime_config,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.027,requirements.md §7,constraints,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.028,requirements.md §7,validation_status,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.029,requirements.md §7,validation_metrics,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.030,requirements.md §7,references,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.031,requirements.md §7,owner,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.032,requirements.md §7,license,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.033,requirements.md §7,created_at,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.034,requirements.md §7,updated_at,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.035,requirements.md §7,STATISTICAL,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.036,requirements.md §7,PROCESS,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.037,requirements.md §7,MACHINE_LEARNING,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.038,requirements.md §7,RASTER,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.039,requirements.md §7,GIS,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.040,requirements.md §7,HYBRID,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.041,requirements.md §7,EXTERNAL,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.042,requirements.md §7,standard_name,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.043,requirements.md §7,data_type,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.044,requirements.md §7,unit,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.045,requirements.md §7,dimension,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.046,requirements.md §7,semantic_type,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.047,requirements.md §7,spatial_support,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.048,requirements.md §7,temporal_support,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.049,requirements.md §7,aggregation_type,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.050,requirements.md §7,nodata_policy,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.051,requirements.md §7,required,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.052,requirements.md §7,type,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.053,requirements.md §7,uri,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.054,requirements.md §7,format,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.055,requirements.md §7,crs,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.056,requirements.md §7,vertical_datum,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.057,requirements.md §7,spatial_extent,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.058,requirements.md §7,time_start,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.059,requirements.md §7,time_end,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.060,requirements.md §7,time_resolution,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.061,requirements.md §7,variables,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.062,requirements.md §7,quality,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.063,requirements.md §7,source,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.064,requirements.md §7,checksum,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.065,requirements.md §7,management_goal,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.066,requirements.md §7,study_area,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.067,requirements.md §7,entity_types,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.068,requirements.md §7,time_range,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.069,requirements.md §7,scenario_conditions,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.070,requirements.md §7,required_outputs,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.071,requirements.md §7,data_policy,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.072,requirements.md §7,quality_requirements,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.073,requirements.md §7,scene_type,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.074,requirements.md §7,nodes,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.075,requirements.md §7,edges,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.076,requirements.md §7,input_bindings,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.077,requirements.md §7,parameter_bindings,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.078,requirements.md §7,validation_rules,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.079,requirements.md §7,execution_policy,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.080,requirements.md §7,output_definition,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.081,requirements.md §7,DataAsset,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.082,requirements.md §7,Transformation,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.083,requirements.md §7,Model Variable,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.084,requirements.md §7,target,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.085,requirements.md §7,semantic_mapping,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.086,requirements.md §7,unit_conversion,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.087,requirements.md §7,crs_transform,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.088,requirements.md §7,resampling,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.089,requirements.md §7,temporal_transform,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.090,requirements.md §7,quality_check,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.091,requirements.md §7,status,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.092,requirements.md §7,workflow_id,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.093,requirements.md §7,scene_id,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.094,requirements.md §7,submitted_by,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.095,requirements.md §7,started_at,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.096,requirements.md §7,finished_at,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.097,requirements.md §7,progress,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.098,requirements.md §7,current_node,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.099,requirements.md §7,error,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.100,requirements.md §7,logs,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
R07.101,requirements.md §7,SceneSpec version,src/coastmas/core/contracts.py,.venv/bin/python -m pytest tests/unit/test_contracts.py,,NOT_RUN,尚未实现或验证
